id	active	category	question	optionA	optionB	optionC	optionD	correctAnswer	learn	whyMatters	deepDive	imageRef	notes
11	YES	Fungi	Meripilus giganteus primarily compromises tree stability by decaying:	Upper crown scaffold branches	Lower stem sapwood	Structural roots and the root plate	Shoots and fine twigs	2	Meripilus aggressively attacks structural roots undermining the anchorage system	Trees may fail by windthrow with little crown symptom. Root plate assessment is CRITICAL - the decay is hidden underground until advanced	Common name: Giant Polypore.<br>Decay type: White rot attacking roots and root collar - rarely extends into stem above ground.<br>Location: Structural roots buttress roots root plate.<br>Signs: Large rosette-forming brackets at tree base multiple caps overlapping brown bruising when touched short-lived brackets brown spore deposit. May be absent in early infection.<br>Hosts: Beech primary also oak horse chestnut lime sweet chestnut.<br>Failure mode: WINDTHROW - tree uproots.<br>Assessment: Probe root plate excavate to inspect roots pulling tests tomography of root collar		
12	YES	Fungi	In trees with central stem decay which failure mode is most likely?	Bending failure around defects	Root plate uplift only	Torsional cracking only	Sudden crown snap without stem deformation	0	Central decay reduces the section modulus making stem vulnerable to bending failure	The outer shell carries most bending stress - if adequate thickness remains tree can be stable. But if shell is thin asymmetric or has openings bending failure likely under wind load	Engineering principle: Most bending stress occurs at outer fibres. Centre contributes little to bending strength so hollowness doesn't automatically mean failure.<br>Critical factor: Residual wall thickness ratio t/R. Wall thickness divided by radius. Below 0.3 is concerning; below 0.2 is high risk.<br>Section modulus: Mathematical measure of bending resistance.<br>Complications: Openings/wounds concentrate stress asymmetric decay creates uneven wall thickness.<br>Assessment tools: Sounding increment borer resistograph tomography.<br>Failure mode: Shell cracks under bending stress crack propagates stem snaps at weakest point		
13	YES	Fungi	Which decay is most associated with brittle snap-like failure?	Brown rot	White rot	Soft rot	Bark canker rot	0	Brown rot removes cellulose causing rapid loss of tensile strength and brittle snapping	Results in sudden failure rather than ductile bending. Wood snaps like chalk or pottery with minimal warning. VERY DANGEROUS because failure is catastrophic and unpredictable	Why brown rot is brittle: Cellulose provides tensile strength. When removed only brittle lignin remains. Wood cannot flex or bend - it snaps.<br>Characteristic fracture: Cubical cracking pattern clean breaks sharp edges wood crumbles to powder no fibrous texture.<br>Comparison: White rot is more ductile - pulls apart in fibres gives warning. Brown rot gives NO warning.<br>Brown rot fungi: Laetiporus sulphureus Phaeolus schweinitzii Fomitopsis pinicola Serpula lacrymans.<br>Also brittle: Kretzschmaria deusta soft rot but ceramic-like fracture.<br>Risk assessment: Brown rot in structural members = HIGH PRIORITY		
14	YES	Fungi	Sporophore annual rings can help identify which group?	Ganoderma spp.	Kretzschmaria spp.	Meripilus spp.	Armillaria spp.	0	Ganoderma brackets often show distinct annual growth layers which can help approximate age of colonisation	Counting rings gives MINIMUM infection duration. Useful for understanding timeline of decay development	Perennial brackets: Ganoderma species produce brackets that persist year after year adding new pore layer annually.<br>Ring counting: Each ring = one growing season. Count from center outward. Gives minimum age of THAT bracket not necessarily age of infection.<br>Visible species: G. applanatum shows clearest rings G. australe also shows rings G. resinaceum shows rings.<br>Information gained: Approximate timeline of decay rate of progression whether decay is recent or long-established.<br>Caution: Bracket age not equal to infection age. Tree may have been colonised for years before first bracket appeared		
15	YES	Fungi	Which environmental condition most favours Meripilus giganteus?	Drought and exposed sites	Warm consistently moist soils	Highly alkaline substrates	Deep dry sands	1	Meripilus prefers moist shaded nutrient-rich soils often around beech on clay soils or in sheltered woodland	Common in parks gardens estate woodlands where conditions are favourable. Rarely found in exposed dry sites. Soil moisture is KEY factor	Preferred conditions: Consistent soil moisture clay soils ideal water-retentive loams shade or partial shade nutrient-rich soils sheltered from strong winds stable environments.<br>Host preference: Beech is PRIMARY host in UK - up to 80% of records. Also attacks oak horse chestnut lime sweet chestnut.<br>Site types: Parkland trees garden specimens woodland edges avenues churchyards historic estates.<br>Soil types: Clay and heavy loams most common. Rare on sandy soils. pH adaptable.<br>Fruiting season: Late summer to autumn. Brackets short-lived		
16	YES	Fungi	Bleeding lesions at the base of a beech are often associated with:	Ganoderma pfeifferi	Phytophthora cambivora	Armillaria ostoyae	Laetiporus sulphureus	1	Phytophthora species often cause bleeding basal cankers on beech and other broadleaves	They are oomycetes not true fungi but predispose trees to secondary decay pathogens. Bleeding cankers create entry points for Armillaria Ganoderma and other decay fungi	Organism type: Oomycete more closely related to algae than true fungi.<br>Species affecting beech: P. cambivora most common P. cactorum P. citricola complex.<br>Symptoms: Dark reddish-brown tarry or watery exudate seeping from bark at base or lower stem. Lesions often sunken bark may crack. Underlying cambium and phloem killed.<br>Other hosts: Horse chestnut sweet chestnut oak many ornamentals.<br>Consequence: Weakened bark/cambium allows SECONDARY colonisation by decay fungi.<br>Spread: Water-splash soil movement contaminated tools.<br>Management: No cure. Improve drainage monitor for secondary fungi		
17	YES	Fungi	Which fungus most commonly produces delamination separation of growth rings?	Sparassis crispa	Fistulina hepatica	Laetiporus sulphureus	Phaeolus schweinitzii	2	Laetiporus sulphureus can cause delamination and sheet-like separation of growth rings often in oak and other broadleaves	Ring separation is CHARACTERISTIC of Laetiporus. Wood splits along annual ring boundaries in sheets. Creates unique failure pattern - limbs or stems can peel apart in layers	Common name: Chicken of the Woods Sulphur Polypore.<br>Decay type: Brown rot causing cubical cracking AND characteristic delamination.<br>Delamination mechanism: Decay preferentially attacks junction between annual rings causing rings to separate in sheets.<br>Appearance: Bright yellow-orange brackets overlapping shelves soft when fresh no stem pore surface yellow.<br>Hosts: Oak primary sweet chestnut yew cherry willow.<br>Location: Often at mid-stem height or on scaffold branches occasionally at base.<br>Failure mode: Branch failure where delamination has occurred. Brittle fracture typical of brown rot		
18	YES	Fungi	A tree with extensive heartwood decay but intact sapwood is MOST likely to fail through:	Windthrow at roots	Compression/tension bending failure	Crown dieback only	Basal heave without uprooting	1	Heartwood decay reduces the stem's bending resistance making it more vulnerable to bending failure rather than uprooting	The outer shell carries most bending load. If heartwood is lost but sapwood intact the tree can remain stable OR fail by stem snap depending on shell adequacy. Roots usually still functional so windthrow less likely than stem failure	Heartwood function: Provides structural support especially compression strength dead tissue with no active transport contains extractives.<br>Sapwood function: Active water/nutrient transport living parenchyma cells more vulnerable to some fungi but has active defence.<br>When heartwood decays but sapwood intact: Section modulus reduced but outer fibres which carry most stress still present.<br>Failure mode: Bending failure at point of maximum stress.<br>Contrast: If ROOT decay present windthrow more likely. If STEM decay only bending failure more likely.<br>Assessment: Shell thickness critical		
19	YES	Fungi	Bracket fungi appearing high in the canopy usually indicate:	Root failure	Upper stem or scaffold branch decay	Early infection only	Nutrient deficiency	1	High-level sporophores signal decay within upper stems or scaffold limbs often long-developed by the time fruiting bodies appear	Branch failure risk may be significant. Decay at height is particularly concerning if branches overhang targets. May require aerial inspection or climbing assessment	Implication: Decay established at that height - affects branch or upper stem at that location. Fruiting body indicates advanced colonisation.<br>Common species found high: Ganoderma spp. Inonotus hispidus Laetiporus sulphureus.<br>Entry points at height: Branch stubs from poor pruning storm damage fork/union failures lightning strikes.<br>Assessment challenges: Ground-level inspection inadequate - may need binoculars aerial platform climbing arborist drone survey.<br>Risk consideration: Drop zone BELOW bracket is critical.<br>Branch failure modes: Entire branch failure snap at decay location progressive failure		
20	YES	Fungi	Which decay type is MOST associated with strong compartmentalisation by the host tree?	White rot	Soft rot	Brown rot	Sapstain fungi	1	Soft rot is slow and often strongly compartmentalised - CODIT barriers can effectively limit its progression	Compared to aggressive white rots which breach CODIT walls or brown rots which progress despite barriers soft rot advances slowly enough for trees to build effective defences	CODIT system: Compartmentalization Of Decay In Trees - Shigo's 4-wall model.<br>Soft rot characteristics: Slower progression than white/brown rot cavity formation within cell walls allows time for effective barrier formation.<br>Success factors: Tree species oak better than beech tree vigour injury extent environmental conditions.<br>Visual pattern: Wedge-shaped decay column in cross-section when successful - sharp boundaries between sound and decayed wood		
21	YES	Fungi	A hollow stem with thick intact walls can still be structurally stable because:	Heartwood is the strongest part	Outer stem fibres carry most load	Hollows generate reaction wood	Decay increases elasticity	1	Most bending strength exists in the outer stem walls - hollow trees can remain strong if wall thickness is adequate	Engineering principle: A tube is stronger than a solid rod of equal mass. Many veteran trees remain safe for centuries despite hollowness. Wall thickness ratio t/R is critical - generally need greater than 0.3 for safety	Stress distribution: Bending stress highest at outer surface decreases toward centre. Removing centre has less impact than expected.<br>Critical factors: Wall thickness ratio t/R greater than 0.3 generally adequate wall continuity no large openings uniform thickness no stress concentrations/cracks.<br>Assessment tools: Tomography resistograph increment borer sounding.<br>Veteran tree note: Ancient oaks pollarded willows beech commonly hollow - can remain safe for centuries with adequate walls		
22	YES	Fungi	Which symptom usually indicates ADVANCED decay rather than early infection?	Localised bark death	Sporophore formation	Leaf chlorosis	Reduced annual increment	1	Most sporophores form AFTER significant decay has developed internally - the fruiting body is tip of the iceberg	Internal decay typically present for 5-15+ years before first fruiting. Finding a bracket means decay is established and advanced. Never wait for sporophores to assess - they're a late-stage indicator	Timeline: Most structural decay fungi colonise and spread extensively BEFORE producing fruiting bodies. Requires established mycelial network accumulated resources sexual maturity environmental triggers.<br>Species variation: Some fruit relatively quickly most structural fungi take years.<br>Critical point: Presence of sporophore equals advanced decay. Absence of sporophore does NOT equal absence of decay.<br>Use invasive testing to detect early.<br>Annual vs perennial: Both types indicate established colonisation		
23	YES	Fungi	Which feature increases reliability of assessing fungal risk?	Judging by sporophore colour alone	Understanding decay type and location	Counting mushrooms at the base	Measuring bark thickness	1	Risk depends on decay type extent and position - sporophore appearance alone is not reliable	Same fungus in roots vs branch equals very different risk. Location is THE strongest predictor: roots equals windthrow butt equals basal snap stem equals stem failure branch equals limb drop. Combine with decay type for full picture	Key factors hierarchy: 1. Location: Roots windthrow butt basal snap stem stem failure scaffold branch limb drop. 2. Decay type: Brown rot brittle sudden white rot progressive soft rot slow. 3. Extent: Percentage of cross-section affected residual wall thickness distribution. 4. Species: Some more aggressive than others. 5. Host vigor: Stressed trees less able to compartmentalise.<br>Assessment tools matched to situation: Visual probing sounding resistograph tomography pulling tests		
24	YES	Fungi	Trees infected with root-decay fungi typically show:	Uniform crown thinning	Asymmetric sway or instability under load	Stem bleeding at mid-height	Immediate foliage discoloration	1	Root decay often leads to instability especially under wind loading before obvious foliar symptoms appear	Subtle instability signs appear BEFORE crown decline: recent lean development soil cracks radiating from base asymmetric sway in wind root plate rocking sensation when pushed. These are early warnings - act on them	Instability indicators priority order: 1. Recent lean change 2. Soil cracks radiating from base 3. Lifted turf/soil on one side 4. Asymmetric sway in wind 5. Rocking sensation when tree pushed 6. Exposed roots on one side 7. Crown asymmetry developing.<br>Assessment protocol: Document lean probe root plate with steel rod excavate small test pits if necessary consider pulling test on high-value/high-risk trees.<br>High-risk fungi: Meripilus Ganoderma Armillaria Kretzschmaria		
25	YES	Fungi	Which factor MOST influences the likelihood of failure in fungal-decayed wood?	Decay fungus species only	Location of decay within the tree structure	Colour of the sporophore	Soil pH below 6	1	Decay location is the strongest predictor of failure behaviour	Same amount of decay has VASTLY different implications depending on where it occurs. Root decay equals windthrow. Butt decay equals basal snap. Mid-stem equals stem failure. Branch equals limb drop. Location drives risk assessment and management	Location-specific failure analysis: Root/Root Plate Decay - Failure mode: Windthrow. Warning signs: Soil cracks lean changes asymmetric sway. Assessment: Probe root plate excavation pulling tests.<br>Butt Decay lower 1-2m - Failure mode: Basal snap near ground level. Assessment: Sounding resistograph tomography of lower stem.<br>Stem Decay mid-height - Failure mode: Stem snap at decay location. Assessment: Shell thickness critical measure residual walls.<br>Scaffold Branch Decay - Failure mode: Branch failure/drop. Assessment: Aerial inspection assess drop zone targets.<br>Risk priority: Root/butt decay whole tree hazard		
26	YES	Assessment	Which tool measures drilling resistance to evaluate decay extent?	Tomograph	Resistograph	Dendrometer	Hypsometer	1	A resistograph measures drilling resistance as a needle penetrates wood creating a resistance profile that reveals decay cavities and sound wood	The drill encounters different resistance in sound wood high resistance vs decayed wood low resistance vs air gaps zero resistance. Output is a graph showing internal structure without destructive sampling	Principle: Fine needle 1.5-3mm drills into tree. Motor power required to advance drill at constant speed is measured and plotted. High resistance equals sound wood low equals decay zero equals cavity.<br>Output: Graph showing internal structure along drill path. Can detect cavities decay zones sound wood shells growth ring patterns.<br>Advantages: Minimal damage small hole quantifiable results can drill to 40cm+ depth repeatable relatively quick.<br>Limitations: Only samples one line expensive requires interpretation won't detect all decay types equally		
27	YES	Assessment	What does a tomograph primarily detect in tree assessment?	Root depth and spread	Internal decay extent and location	Soil compaction levels	Leaf chlorophyll content	1	Tomography detects internal decay by measuring sound wave velocity through wood - decayed wood transmits sound slower than healthy wood	Creates a 2D slice image showing internal structure at that height. Can map decay extent cavity size residual wall thickness and asymmetry. Non-invasive and provides visual output	Principle: Sensors placed around trunk at same height typically 8-12 sensors. Each sensor sends sound pulse; others measure arrival time. Sound travels faster through sound wood 4000+ m/s than decayed wood 1000-2000 m/s or cavities 300 m/s air.<br>Output: Color-coded 2D cross-section image: Green/blue sound wood yellow/orange weakened wood red/brown severe decay black cavity.<br>Advantages: Non-invasive visual output can test multiple heights repeatable works on any tree size.<br>Limitations: Expensive requires training only shows slices affected by moisture content results need expert interpretation		
28	YES	Assessment	Which assessment method applies controlled load to estimate root plate stability?	Chlorophyll fluorescence	Static pulling test	Dendrometry	Spectral analysis	1	Static pulling tests apply controlled load while measuring tree deflection and root plate movement to assess anchorage stability	Mimics wind loading in controlled way. Monitors how much tree/root plate moves under known load. Detects early instability before visible failure. Particularly useful for trees with suspected root decay	Principle: Controlled force applied to trunk using winch/weights while measuring stem deflection inclinometers at multiple heights root plate tilting inclinometers at base soil movement around base.<br>Procedure: Baseline readings taken no load gradual load increase measure response at each increment unload check for permanent deformation.<br>Key measurements: Load vs deflection curve root plate tilt angle permanent set after unloading comparative movement base vs crown.<br>Applications: Trees with suspected root decay veteran trees after root damage high-value/high-consequence trees.<br>Advantages: Directly tests actual stability quantify safety margins repeatable provides evidence		
29	YES	Assessment	An increment borer is primarily used to:	Measure tree height	Extract wood core samples for analysis	Test soil pH	Measure wind speed in canopy	1	An increment borer extracts a cylindrical core sample from trunk allowing examination of growth rings wood condition and decay without felling the tree	Can measure residual wall thickness in hollow trees sample for decay presence analyze growth rates date trees detect historic stress events. Minimally invasive	Tool description: Hollow metal tube with cutting thread. Screwed into tree trunk extracts cylindrical core typically 4-5mm diameter up to 40cm+ length.<br>Applications: 1. Measuring shell thickness in hollow trees 2. Detecting presence/extent of decay 3. Growth rate analysis 4. Tree dating 5. Historic stress detection 6. Species confirmation.<br>Technique: Select location without major defects bore perpendicular to trunk advance slowly extract core carefully examine immediately seal hole.<br>Advantages: Minimal damage direct examination quantifiable measurements inexpensive quick.<br>Limitations: Small sample size core can break needs skill creates potential entry point		
30	YES	Assessment	Sounding a tree with a mallet primarily detects:	Root depth	Presence of cavities or advanced decay	Soil moisture content	Crown density	1	Sounding produces different acoustic responses from sound wood solid thud versus decayed/hollow wood dull or hollow sound allowing cavity detection	Simple quick non-technical method anyone can do. Effective for initial screening. Useful but can't quantify extent	Principle: Sound waves travel differently through sound wood vs decayed/hollow wood. Ear detects difference in acoustic response when surface struck.<br>Technique: Use rubber/wooden mallet strike systematically at 20-30cm intervals around trunk at multiple heights listen carefully compare responses mark suspicious zones.<br>Sound interpretation: Sound wood clear solid thunk short duration high pitch. Decayed wood dull soft thud dampened sound lower pitch. Hollow/cavity resonant boom or ringing longer duration echo quality. Thin shell high-pitched hollow sound vibration felt.<br>Advantages: No equipment quick screening no damage anyone can learn good for initial assessment.<br>Limitations: Subjective cannot quantify can miss deep internal decay affected by bark thickness		
31	YES	Biomech	When assessing a leaning tree the ABSENCE of adaptive growth on the compression side most likely indicates:	Recent movement or progressive failure	Healthy established lean	Superior structural stability	Normal seasonal variation	0	Trees normally develop compensatory growth buttressing reaction wood on the compression side of established leans. Absence suggests recent/ongoing movement	If lean is long-established expect visible thickening on compression side. Lack of adaptation equals lean is recent OR tree is too stressed to respond OR failure is progressive. All scenarios require urgent assessment	Normal response to lean: Compression wood conifers or tension wood broadleaves forms over years visible as eccentric growth rings stem thickening on loaded side buttress development at base.<br>Timeline: Adaptive growth takes 3-5+ years to become visible. Recent leans months won't show adaptation.<br>Absence indicates: 1 Lean developed recently 2 Tree too stressed/declining to respond 3 Progressive failure ongoing 4 Root plate already compromised.<br>Assessment priorities: Compare to historic photos check for soil cracks/root plate movement investigate cause probe root plate consider pulling test assume high risk until proven otherwise		
32	YES	Biomech	In assessing fork strength a diameter ratio changing from 2:1 to 1.5:1 over several years suggests:	Improving structural integrity	Subordinate stem gaining dominance - monitor closely	Normal growth pattern	Immediate failure risk	1	Decreasing diameter ratio approaching 1:1 indicates subordinate stem is catching up - union may be weakening as stems compete	Optimal ratios are 2:1 or greater. As ratio decreases toward 1:1 union becomes weaker. This trend suggests developing co-dominance - higher failure risk. Monitor for included bark development consider selective reduction	Optimal hierarchy: Dominant stem should maintain 2:1 or greater diameter advantage over subordinate. This ensures proper load distribution and reduces included bark risk.<br>Why ratio decrease is concerning: Subordinate stem competing for apical dominance more similar diameters equals more similar bending stiffness equals higher stress concentration at union increased likelihood of included bark formation poor load distribution.<br>Management implications: Trending toward 1:1 equals intervene before it reaches parity. Options: subordinate reduction crown rebalancing consider removal of one stem.<br>Monitoring protocol: Measure both stem diameters annually calculate ratio document with photos track included bark		
33	YES	Biomech	A tree showing long-term wind deformation flagging but no recent damage represents:	Imminent failure risk requiring immediate action	Adapted stable condition - monitor normally	Declining health requiring intervention	Recent storm impact	1	Wind-adapted trees with flagging/asymmetric form are generally stable - the form represents successful adaptation to loading history	Flagging equals chronic wind exposure adaptation not acute failure. Tree has remodelled structure over years to accommodate prevailing winds. If no recent damage/movement treat as stable. Risk increases only if loading changes	Chronic adaptation signs: Flagging crown deflected in prevailing wind direction asymmetric crown development eccentric stem growth buttressing on windward side krummholz effect in extreme exposure.<br>These indicate SUCCESSFUL adaptation: Tree has grown under constant loading structure optimized for that environment stress wood integrated throughout root system developed asymmetrically.<br>Contrast - acute damage: Fresh broken branches recent lean new cracks root plate movement sudden asymmetry.<br>When wind-adapted trees become risky: 1 Loading changes shelter removed 2 Crown suddenly grows 3 Root decay develops 4 Age-related decline 5 Drought stress		
34	YES	Biomech	Multiple cavity openings on the same side of a stem are mechanically MORE concerning than a single large central cavity because:	They indicate more advanced age	Openings create stress concentration points in the shell	Multiple fungi are present	Surface area of decay is greater	1	Cavity openings act as stress concentrators - multiple openings on one side create multiple weak points where cracks can initiate	Single central cavity with intact shell equals load distributed around uniform tube. Multiple openings equals discontinuous shell with stress concentration at each opening edge. Cracks typically initiate at opening corners under bending load	Engineering principle: Any discontinuity in a loaded structure concentrates stress. In hollow trees openings disrupt shell continuity creating stress hot spots at opening edges especially corners.<br>Why multiple openings are worse: Each opening equals potential crack initiation point openings aligned vertically on same side equals shell effectively interrupted load cannot redistribute smoothly stress between openings is elevated crack from one opening can propagate to next.<br>Worst-case scenario: Multiple openings stacked vertically on TENSION side of dominant bending direction.<br>Assessment: Map opening locations measure dimensions calculate remaining shell continuity check for crack initiation tomography shows if openings connected internally		
35	YES	Soil	Soil bulk density exceeding 1.6 g/cm³ in the root zone primarily limits tree growth by:	Reducing nutrient concentration	Restricting root penetration and oxygen availability	Increasing soil pH	Lowering water holding capacity	1	High bulk density physically restricts root penetration and reduces pore space limiting oxygen diffusion to roots	Compacted soil has reduced macro-pore space. Roots cannot penetrate dense soil and remaining pores are water-filled limiting oxygen. Result: shallow root system poor anchorage drought stress reduced vigor	"Bulk density thresholds: Less than 1.4 g/cm³ good for root growth. 1.4-1.6 restricted growth. Greater than 1.6 severe restriction (species/soil texture dependent).<br>Mechanical restriction: Roots cannot physically push through dense soil. Penetrometer resistance greater than 2-3 MPa equals root barrier. Roots deflected or stopped.<br>Oxygen limitation: Compaction reduces macro-pores. Remaining pores fill with water. Oxygen cannot diffuse to roots. Anaerobic conditions develop. Root respiration impossible.<br>Consequences: Shallow restricted root systems. Poor anchorage - windthrow risk. Limited water access during drought. Nutrient uptake impaired. Overall vigor reduced. Tree decline.<br>Urban context: Construction traffic, material storage, vehicle parking all cause compaction. Root zones unprotected. Chronic problem in urban landscapes.<br>Assessment: Penetrometer testing (resistance measurement). Bulk density sampling. Visual inspection (surface crusting, poor drainage, puddling). Root excavation reveals shallow plate-like systems.<br>Species sensitivity: Beech very sensitive. Oak moderately sensitive. London plane relatively tolerant but still affected. Willows/poplars tolerate wet but not compacted conditions.<br>Prevention: Exclude traffic from root zones. Barriers, fencing, protective mulch. Prevention vastly better than remediation.<br>Remediation: Radial trenching, air-spading, vertical mulching, soil replacement. Results variable. Difficult and expensive. Prevention preferred."		
